Frame,Timestamp,Joint,Angle,Status
124,1774369931.9846854,Right Arm,5,Bent
124,1774369931.9846854,Left Leg,178,Extended
124,1774369931.9856942,Right Leg,178,Extended
125,1774369932.0741136,Left Arm,35,Bent
125,1774369932.0741136,Right Arm,8,Bent
125,1774369932.0751133,Left Leg,178,Extended
125,1774369932.0751133,Right Leg,179,Extended
126,1774369932.166979,Left Arm,30,Bent
126,1774369932.168457,Right Arm,10,Bent
126,1774369932.1694472,Left Leg,178,Extended
126,1774369932.1694472,Right Leg,178,Extended
127,1774369932.2542832,Left Arm,30,Bent
127,1774369932.2552826,Right Arm,8,Bent
127,1774369932.2552826,Left Leg,178,Extended
127,1774369932.2562892,Right Leg,178,Extended
128,1774369932.3431103,Left Arm,31,Bent
128,1774369932.344114,Right Arm,7,Bent
128,1774369932.344114,Left Leg,178,Extended
128,1774369932.344114,Right Leg,179,Extended
129,1774369932.430675,Left Arm,46,Bent
129,1774369932.4316735,Right Arm,10,Bent
129,1774369932.4316735,Left Leg,178,Extended
129,1774369932.4326744,Right Leg,179,Extended
130,1774369932.5055401,Left Arm,158,Bent
130,1774369932.5055401,Right Arm,6,Bent
130,1774369932.5055401,Left Leg,178,Extended
130,1774369932.5070558,Right Leg,179,Extended
131,1774369932.580132,Left Arm,160,Extended
131,1774369932.581131,Right Arm,5,Bent
131,1774369932.581131,Left Leg,178,Extended
131,1774369932.5821326,Right Leg,179,Extended
132,1774369932.6619127,Left Arm,161,Extended
132,1774369932.6629198,Right Arm,4,Bent
132,1774369932.6629198,Left Leg,179,Extended
132,1774369932.6629198,Right Leg,179,Extended
133,1774369932.738859,Left Arm,163,Extended
133,1774369932.739853,Right Arm,10,Bent
133,1774369932.739853,Left Leg,178,Extended
133,1774369932.739853,Right Leg,179,Extended
134,1774369932.815474,Left Arm,157,Bent
134,1774369932.8164902,Right Arm,88,Bent
134,1774369932.8164902,Left Leg,179,Extended
134,1774369932.8170035,Right Leg,178,Extended
135,1774369932.8910644,Left Arm,152,Bent
135,1774369932.8920717,Right Arm,64,Bent
135,1774369932.8920717,Left Leg,179,Extended
135,1774369932.8920717,Right Leg,179,Extended
136,1774369932.9730775,Left Arm,145,Bent
136,1774369932.974095,Right Arm,133,Bent
136,1774369932.974095,Left Leg,179,Extended
